concert_id,concert_name,created_at,updated_at
32,Smile Jam 2025,2021-07-03 06:28:21,2023-02-01 21:52:47
33,Face Festival 2026,2020-04-26 13:33:03,2024-07-30 04:34:43
34,Choice Carnival 2026,2024-07-29 19:06:51,2024-11-07 22:29:23
35,Call Gala 2024,2022-10-12 23:34:44,2024-02-01 06:48:35
36,Result Gala 2024,2023-11-23 02:54:43,2024-01-10 03:52:58
37,Building Show 2026,2024-08-30 19:01:39,2024-10-07 23:16:10
38,Administration Concert 2025,2020-05-11 05:58:59,2023-04-28 14:26:35
39,Agree Gala 2026,2024-08-02 06:04:54,2024-08-07 03:07:58
40,Stand Show 2024,2021-04-12 09:11:16,2023-04-16 13:47:34
41,Magazine Carnival 2026,2022-12-03 18:52:52,2024-08-02 23:25:33
42,Hotel Concert 2025,2020-04-11 11:22:07,2020-11-23 04:46:20
43,Population Festival 2024,2021-12-25 10:39:34,2022-12-11 19:56:06
44,Out Jam 2026,2023-11-18 02:56:14,2024-09-29 07:16:05
45,Still Carnival 2025,2020-07-05 21:43:23,2021-08-22 06:52:42
46,Himself Gala 2024,2021-12-17 03:02:13,2024-10-17 14:00:10
47,Tough Gala 2025,2022-03-19 16:58:51,2024-12-20 16:19:04
48,Cup Show 2026,2023-11-30 04:36:15,2025-01-27 23:13:49
49,Player Concert 2026,2020-06-15 03:55:56,2021-06-09 01:11:19
50,Foot Concert 2024,2020-06-09 11:19:02,2022-04-21 19:32:02
51,Build Gala 2026,2020-12-08 15:31:37,2022-12-08 04:33:18
52,Detail Concert 2025,2020-04-05 23:47:29,2022-11-21 22:35:08
53,Important Show 2024,2022-01-04 01:22:46,2022-04-11 05:39:14
54,Sell Concert 2025,2023-10-30 06:21:05,2024-08-13 12:49:03
55,Knowledge Jam 2025,2022-05-17 18:40:00,2024-03-11 07:40:16
56,Society Festival 2025,2024-07-17 12:36:00,2024-12-02 04:54:06
57,Art Carnival 2025,2022-11-12 02:04:39,2023-07-10 22:42:06
58,Owner Gala 2026,2022-05-02 00:31:51,2024-08-18 09:45:01
59,Child Carnival 2025,2023-09-27 04:33:22,2025-02-12 05:35:49
60,Modern Gala 2024,2022-07-17 20:53:02,2024-12-11 00:33:09
61,Ability Jam 2024,2025-01-11 15:00:31,2025-01-29 15:16:47
62,Matter Show 2024,2021-07-28 14:16:15,2023-06-27 13:48:23
63,Water Carnival 2026,2024-03-06 14:47:48,2024-11-05 21:16:02
64,Side Show 2024,2022-07-15 22:06:35,2022-11-09 22:02:20
65,Early Festival 2026,2021-12-01 19:22:24,2023-05-28 05:15:34
66,Approach Festival 2024,2020-11-29 11:17:10,2024-07-24 15:25:34
67,Way Gala 2026,2024-07-17 11:36:00,2025-01-16 17:05:08
68,Outside Carnival 2026,2022-01-24 22:52:08,2022-06-15 01:34:22
69,Difference Jam 2026,2021-01-12 16:53:19,2021-09-09 23:08:02
70,Discussion Festival 2025,2024-06-15 04:53:36,2024-09-13 07:09:08
71,Current Gala 2025,2024-07-11 16:51:51,2024-11-03 16:01:02
72,Attention Gala 2026,2023-12-02 10:20:41,2024-05-10 01:34:02
73,Senior Carnival 2026,2021-11-23 22:42:34,2022-09-17 09:45:13
74,Media Concert 2025,2022-07-20 22:56:57,2022-07-29 12:09:14
75,Subject Concert 2026,2023-06-02 05:01:17,2023-10-13 09:51:20
76,Usually Concert 2024,2023-05-19 18:52:04,2024-10-31 00:53:49
77,Black Festival 2026,2024-08-28 13:43:00,2024-11-19 07:27:59
78,Look Carnival 2024,2023-12-26 00:27:32,2024-03-15 00:44:29
79,Charge Carnival 2024,2023-03-14 05:33:42,2025-02-11 04:30:53
80,How Festival 2024,2024-09-23 20:32:25,2024-10-29 18:14:22
81,Mind Show 2026,2023-06-16 22:44:51,2024-04-16 14:45:52
82,Sing Festival 2025,2020-04-19 02:26:33,2022-09-03 12:49:45
83,All Show 2024,2023-04-12 15:17:44,2024-08-16 13:31:08
84,Per Carnival 2025,2024-05-30 06:03:07,2024-12-28 01:12:15
85,Red Show 2024,2024-07-24 12:48:02,2024-11-17 11:48:42
86,Must Carnival 2026,2024-08-04 08:36:43,2024-09-19 18:11:13
87,Dark Carnival 2024,2022-09-09 03:59:24,2023-10-09 15:29:52
88,At Carnival 2025,2020-07-19 13:33:05,2021-11-23 05:47:09
89,Read Carnival 2024,2024-05-29 15:21:53,2025-01-11 09:39:28
90,Career Concert 2025,2021-06-28 15:41:40,2024-03-17 09:38:22
91,Area Carnival 2025,2021-07-09 02:26:48,2021-10-29 07:25:15
92,Majority Festival 2025,2023-11-01 04:28:31,2024-03-20 10:32:13
93,Laugh Festival 2026,2024-02-08 21:50:47,2024-02-24 19:08:40
94,Should Carnival 2026,2020-08-10 15:30:26,2021-09-18 00:43:10
95,Entire Show 2026,2021-10-11 07:27:20,2022-02-10 11:19:45
96,Week Gala 2024,2021-08-10 13:36:22,2023-02-25 11:52:40
97,Drug Concert 2026,2023-02-13 00:19:35,2024-05-10 14:55:20
98,Indeed Show 2026,2024-11-22 03:16:55,2025-01-17 08:20:37
99,Visit Show 2025,2022-08-11 12:03:58,2024-01-19 12:56:09
100,Role Show 2026,2020-08-07 01:15:31,2020-12-16 13:19:25
